Wed Dec 11 17:22:41 2024    profiling_results

         15688296 function calls (15687953 primitive calls) in 167.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.002    0.000 markers.py:225(__init__)
     1000    0.001    0.000    0.002    0.000 __init__.py:703(_get)
        1    0.000    0.000    0.002    0.002 figure.py:2398(__init__)
        1    0.000    0.000    0.002    0.002 axis.py:2532(__init__)
        8    0.000    0.000    0.002    0.000 pathlib.py:852(exists)
      372    0.001    0.000    0.002    0.000 cbook.py:2011(_setattr_cm)
        8    0.000    0.000    0.002    0.000 pathlib.py:835(stat)
        1    0.000    0.000    0.002    0.002 _base.py:1198(_gen_axes_spines)
        8    0.002    0.000    0.002    0.000 {built-in method nt.stat}
        7    0.000    0.000    0.002    0.000 patches.py:48(__init__)
        4    0.000    0.000    0.002    0.001 spines.py:432(linear_spine)
        7    0.000    0.000    0.002    0.000 lines.py:1029(get_path)
        7    0.000    0.000    0.002    0.000 lines.py:666(recache)
        2    0.000    0.000    0.002    0.001 axis.py:794(_set_scale)
      186    0.000    0.000    0.002    0.000 contextlib.py:132(__enter__)
        2    0.001    0.001    0.002    0.001 {method '__exit__' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.002    0.002 pyplot.py:3582(plot)
        2    0.000    0.000    0.002    0.001 scale.py:103(set_default_locators_and_formatters)
        1    0.000    0.000    0.002    0.002 _axes.py:1479(plot)
       32    0.000    0.000    0.002    0.000 markers.py:306(_set_marker)
        2    0.000    0.000    0.002    0.001 collections.py:1013(__init__)
        1    0.000    0.000    0.002    0.002 _base.py:2251(add_collection)
       26    0.000    0.000    0.002    0.000 font_manager.py:595(__init__)
1371/1221    0.001    0.000    0.002    0.000 artist.py:317(stale)
        4    0.000    0.000    0.002    0.000 spines.py:35(__init__)
        2    0.000    0.000    0.002    0.001 axis.py:2298(_init)
        2    0.000    0.000    0.002    0.001 collections.py:77(__init__)
      121    0.001    0.000    0.002    0.000 copy.py:61(copy)
      186    0.000    0.000    0.002    0.000 contextlib.py:141(__exit__)
       27    0.000    0.000    0.002    0.000 font_manager.py:615(_from_any)
     1426    0.001    0.000    0.002    0.000 {built-in method builtins.getattr}
